imdb_title_id,title,year,genre,duration,country,language,production_company,actors,description,avg_vote,votes,budget
tt0020269,Piccadilly,1929,Drama,92,UK,English,British International Pictures (BIP),Gilda Gray &  Anna May Wong &  Jameson Thomas &  Cyril Ritchard &  King Hou Chang &  Hannah Jones &  Gordon Begg &  Harry Terry &  Debroy Somers and His Band,A young Chinese woman  working in the kitchen at a London dance club  is given the chance to become the club's main act which soon leads to a plot of betrayal  forbidden love and murder.,7.1,1353,
tt0020286,Prapancha Pash,1929,Adventure,74,UK &  India &  Germany,English,British Instructional Films (BIF),Seeta Devi &  Himanshu Rai &  Charu Roy &  Modhu Bose &  Sarada Gupta &  Tincory Chakrabarty &  Lala Bijoykishen,Two neighboring Indian kingdoms are ruled by cousins - King Ranjit and King Sohat. Unbeknownst to Ranjit  Sohat is plotting to seize control of his kingdom.,6.5,710,
tt0020293,Prividenie  kotoroe ne vozvrashchaetsya,1930,Drama,67,Soviet Union,,Sovkino,Boris Ferdinandov &  A. Filippov &  Karl Gurnyak &  Dmitriy Kara-Dmitriev &  Ivan Lavrov &  A. Repin &  Maksim Shtraukh &  Gavriil Terekhov &  Daniil Vvedenskiy &  E. Yakovskiy &  Leonid Yurenev &  Olga Zhizneva,"The Ghost That Never Returns" is an outstanding Soviet film by Abram Room  the director of Bed and Sofa (1927). Released to little notice in 1930  it joins other very late silents to show ...,6.7,181,
tt0020298,La regina Kelly,1932,Drama,101,USA,,Gloria Swanson Pictures,Gloria Swanson &  Walter Byron &  Seena Owen,A convent girl is abducted and seduced by a prince before being sent off to a brothel in East Africa.,7.1,3049,  800000
tt0020332,Rio Rita,1929,Adventure,140,USA,English,RKO Radio Pictures,Bebe Daniels &  John Boles &  Bert Wheeler &  Robert Woolsey &  Dorothy Lee &  Don Alvarado &  Georges Renavent &  Helen Kaiser &  Tom Smith,Capt. James Stewart pursues the bandit "The Kinkajou" over the Mexican border and falls in love with Rita. He suspects  that her brother is the bandit.,6.1,691,
tt0020336,Arcobaleno,1930,Comedy,96,USA,English,Metro-Goldwyn-Mayer (MGM),Bessie Love &  Charles King &  Jack Benny &  George K. Arthur &  Polly Moran &  Gwen Lee &  Nita Martan &  Eddie Phillips &  Marie Dressler &  Youcca Troubetzkov,The road-show troupe of a top Broadway show go cross-country while taking the audience along on the on-stage scenes as well as what happens and is happening back stage of the production. ...,6,204,
tt0020358,Sally,1929,Musical,103,USA,English &  French,First National Pictures,Marilyn Miller &  Alexander Gray &  Joe E. Brown &  T. Roy Barnes &  Pert Kelton &  Ford Sterling &  Maude Turner Gordon &  E.J. Ratcliffe &  Jack Duffy &  Ethel Stone &  Nora Lane,Sally was an orphan who got her name from the telephone exchange where she was abandoned as a baby. In the orphanage  she discovered the joy of dancing and has been practicing since. ...,6.1,304,  647000
tt0020359,Saluto militare,1929,Drama,84,USA,English,Fox Film Corporation,George O'Brien &  Helen Chandler &  William Janney &  Stepin Fetchit &  Frank Albertson &  Joyce Compton &  David Butler &  Lumsden Hare &  Clifford Dempsey &  Ward Bond,West Point Cadet John and Annapolis Midshipman Frank focus their fraternal rivalry on the big Army-Navy football game.,5.5,156,
tt0020364,Lui  lei  l'altra,1929,Comedy,63,USA,English,Paramount Pictures,Clara Bow &  Jean Arthur &  James Hall &  Edna May Oliver &  Charles Sellon &  Ethel Wales &  Hyman Meyer,Mayme and sister Janie are salesgirls in Ginsberg's Department Store. Mayme is in love with store clerk Bill  but Janie tries to steal him from her. Hazel  another salesgirl  is Jean Harlow's first credited role.,6,191,
tt0020388,Seven Keys to Baldpate,1929,Comedy,72,USA,English,RKO Radio Pictures,Richard Dix &  Miriam Seegar &  Margaret Livingston &  Lucien Littlefield &  Joseph Allen Sr. &  DeWitt Jennings &  Nella Walker &  Carleton Macy &  Alan Roscoe &  Crauford Kent &  Harvey Clark &  Edith Murgatroyd &  Arthur Hoyt,A writer  looking for some peace and quiet in order to finish a novel  takes a room at the Baldpate Inn. Peace and quiet are last things he gets  though  as there are some very strange things going on at the establishment.,6.1,267,  251000
tt0020392,Clem  bizzarro monello,1929,Drama,70,USA,English,Universal Pictures,James Murray &  Barbara Kent &  George Kotsonaros &  Wheeler Oakman &  Jack Hanlon &  Harry Gribbon,Dave Roberts is a professional boxer better at losing in fixed matches than in knocking out his opponents. He turns up in towns and is part of a group who sets up corrupt boxing matches. ...,6.3,116,  50000
tt0020402,Show Boat,1929,Drama,147,USA,English,Universal Pictures,Laura La Plante &  Joseph Schildkraut &  Emily Fitzroy &  Otis Harlan &  Alma Rubens &  Jack McDonald &  Jane La Verne &  Neely Edwards &  Elise Bartlett &  Stepin Fetchit &  Jules Bledsoe &  Tess Gardella &  Bettye Junod &  Carl Laemmle &  Helen Morgan,A mostly silent version of Edna Ferber's original novel  with some songs from the musical as a last-minute addition,6.1,245,
tt0020405,The Silent Enemy,1930,Drama,84,USA,English,Burden-Chanler Productions,Chief Yellow Robe &  Chief Buffalo Child Long Lance &  Chief Akawanush &  Mary Alice Nelson Archambaud &  Cheeka &  Mali Spotted Elk,A documentary about the life of Indians in Northern Canada.,6.9,183,
